model_id,table1_rows,table1_columns,horizon,hp_set,prediction_on,id,id2
186,Base specification,Escalation,6 months,Default,train-cv,Repeat07,Fold2
187,Base specification,Escalation,6 months,Default,train-cv,Repeat08,Fold1
188,Base specification,Escalation,6 months,Default,train-cv,Repeat08,Fold2
189,Base specification,Escalation,6 months,Default,train-cv,Repeat09,Fold1
190,Base specification,Escalation,6 months,Default,train-cv,Repeat09,Fold2
191,Base specification,Escalation,6 months,Default,train-cv,Repeat10,Fold1
192,Base specification,Escalation,6 months,Default,train-cv,Repeat10,Fold2
193,Base specification,Escalation,6 months,Default,train-cv,Repeat11,Fold1
194,Base specification,Escalation,6 months,Default,train-cv,Repeat11,Fold2
195,Base specification,Escalation,6 months,Default,train-cv,Repeat12,Fold1
196,Base specification,Escalation,6 months,Default,train-cv,Repeat12,Fold2
197,Base specification,Escalation,6 months,Default,train-cv,Repeat13,Fold1
198,Base specification,Escalation,6 months,Default,train-cv,Repeat13,Fold2
199,Base specification,Escalation,6 months,Default,train-cv,Repeat14,Fold1
200,Base specification,Escalation,6 months,Default,train-cv,Repeat14,Fold2
201,Base specification,Escalation,6 months,Default,train-cv,Repeat15,Fold1
202,Base specification,Escalation,6 months,Default,train-cv,Repeat15,Fold2
203,Base specification,Escalation,6 months,Default,train-cv,Repeat16,Fold1
204,Base specification,Escalation,6 months,Default,train-cv,Repeat16,Fold2
205,Base specification,Escalation,6 months,Default,train-cv,Repeat17,Fold1
206,Base specification,Escalation,6 months,Default,train-cv,Repeat17,Fold2
207,Base specification,Escalation,6 months,Default,train-cv,Repeat18,Fold1
208,Base specification,Escalation,6 months,Default,train-cv,Repeat18,Fold2
209,Base specification,Escalation,6 months,Default,train-cv,Repeat19,Fold1
210,Base specification,Escalation,6 months,Default,train-cv,Repeat19,Fold2
211,Base specification,Escalation,6 months,Default,train-cv,Repeat20,Fold1
212,Base specification,Escalation,6 months,Default,train-cv,Repeat20,Fold2
213,Base specification,Escalation,6 months,Default,train-cv,Repeat21,Fold1
